名称,営業日,住所,アクセス
"博多もつ鍋 黒豚しゃぶしゃぶ ぐるなべ 新宿店","月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:01 ドリンクL.O. 23:30）","東京都新宿区西新宿１-４-５　明広ビル 5F","ＪＲ新宿西口１分／創作和食が豊富な個室居酒屋 宴会は税込2980円～◎"
"肉バル アモーレ新宿","月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）","東京都新宿区新宿３-34-3 第31東京ビル B2F","東京都新宿区新宿3-34-3 第31東京ビルB2 新宿駅徒歩3分！"
"厳選ズワイ蟹と名物ちりとり鍋 米助 よねすけ 新宿総本店","月～木: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金、祝前日: 16:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）土: 14:00～翌4:30 （料理L.O. 翌3:30 ドリンクL.O. 翌4:00）日、祝日: 14:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）",東京都新宿区新宿３丁目36-13　Mビル７F,"【新宿駅徒歩1分】★幹事様無料★ 3H飲み放題付8品コース3,480円～♪≪新宿　個室　居酒屋　米助≫"
"焼肉 道楽","月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）",東京都新宿区歌舞伎町１‐27‐2　ピア新宿B1F,JR新宿駅徒歩4分・西武新宿駅徒歩1分(新宿駅からアクセス抜群！）
海幸山幸たまて箱,"月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:01 ドリンクL.O. 23:30）","東京都新宿区西新宿１-４-５　明広ビル 5F","ＪＲ新宿西口１分／創作和食が豊富な個室居酒屋 宴会は税込2980円～◎"
"ハヌリ 新宿東口ゴジラ通り店","月～日、祝日、祝前日: 11:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）",東京都新宿区歌舞伎町１－１８－９－９F,ＪＲ新宿駅東口徒歩5分/西武新宿駅徒歩3分/ゴジラヘッドが特徴のTOHOシネマビルの通りWaMallビルの9Fです。
"和食 個室居酒屋 千本桜 sakura 新宿店","月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）","東京都新宿区新宿４-1-13 田園新宿ビル４F","3時間飲み放題付コース2980円～！ドア付個室席有。幹事無料クーポン有。ＪＲ新宿駅東口南口徒歩1分 ご宴会・飲み会"
"UMAKA 美味か 新宿南口店","月～日、祝日、祝前日: 15:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）",東京都新宿区新宿4-1-13４F,"3時間飲み放題付コース2980円～！ドア付個室席有。幹事無料クーポン有。ＪＲ新宿駅東口南口徒歩1分 ご宴会・飲み会"
"星夜の宴 新宿本店","月～日、祝日、祝前日: 16:30～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）",東京都渋谷区代々木２-10-1サンセイビル２階,"新宿駅西口徒歩３分　新宿駅南口徒歩3分　【各路線からアクセス良好 × 集合&待ち合わせも容易】"
"NOM. ノモドッド 新宿","月～日、祝日、祝前日: 11:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）",東京都新宿区歌舞伎町１-23-12桑原ビル3F,JR新宿駅東口徒歩3分　西武新宿駅徒2分（西武新宿線沿い）
